week,cases_avg,deaths_avg
1,0.29,0
2,0.29,0
3,0.43,0
4,0.43,0
5,0.57,0
6,1,0.29
7,1.71,0.29
8,1.57,0.29
9,1.71,0.29
10,2.86,0.29
11,3.29,0.29
12,6,0.29
13,9,0
14,8.29,0.14
15,13.71,0.14
16,18.14,0.29
17,26.71,0.57
18,42.86,0.71
19,55.43,0.86
20,70.57,1
21,99.14,1.14
22,127.29,1.43
23,154.43,2
24,179.57,2
25,235,2.29
26,292,3
27,376.29,5.29
28,467.71,6.43
29,563.29,6.71
30,639,7.71
31,753.57,9.29
32,828.29,11
33,931.71,16.43
34,1008.86,17.57
35,1071.29,19.71
36,1057,22.86
37,1132.29,25.86
38,1142.43,30
39,1131.57,31.71
40,1117,32.29
41,1100,35.57
42,1063,35.86
43,1073.29,34.29
44,1055.71,35
45,983,39.29
46,976.57,41.57
47,930.43,42.43
48,969.29,43.86
49,929.43,43.14
50,921.57,44.71
51,862.71,46.29
52,891.57,42.29
53,825,44.71
54,901.14,45.57
55,825.71,45.71
56,763.86,43.86
57,744.86,42.86
58,725.71,37.86
59,711,43.43
60,697.71,41.43
61,577.57,40.14
62,599.29,38.29
63,660.57,44.14
64,650,43.57
65,679.86,44.43
66,656.14,42.86
67,687,46
68,733.86,47.43
69,638.71,50.71
70,648.29,50.14
71,645.43,48.86
72,583.57,48
73,640.57,44
74,628.57,41.14
75,626,39.29
76,705.57,35.43
77,687.14,35.57
78,713.14,36
79,780,37.43
80,717.29,39
81,724.14,38.43
82,780.71,38.43
83,759,39
84,759.43,38.43
85,754.14,37.71
86,757.71,36.43
87,758.71,29.57
88,737.57,31.86
89,658.57,31.43
90,720.86,31.86
91,756.71,30.57
92,756.57,30.57
93,726.29,29.71
94,741.71,38.71
95,875.71,35.29
96,985.43,34.71
97,998.71,35.29
98,1047.71,34.43
99,1110.71,35.57
100,1153.43,36
101,1221.86,33.57
102,1229.57,33.57
103,1269.43,34.43
104,1354.71,31
105,1542,33.86
106,1661.43,33
107,1774.57,32.29
108,2015.57,32.57
109,2192.57,31
110,2408.14,30.43
111,2682.43,32.43
112,2892.14,31.29
113,3103.29,32.86
114,3270.14,33.57
115,3342,35
116,3756.43,37.57
117,4013.14,38
118,4744.57,37.43
119,5535.43,35.14
120,6254.86,36.86
121,6589.14,39.14
122,6990.14,38.14
123,7140.43,38.43
124,7869.71,41.43
125,7947.71,45.43
126,8215.29,44.57
127,8433.71,44.57
128,8586.57,47.29
129,8765.71,48
130,9255.14,48.43
131,9087.43,56
132,9365.29,59.71
133,9208.43,70.71
134,9957.14,73
135,10855.43,71.29
136,11119.29,81.14
137,11146.71,90.29
138,11865.29,95.43
139,11870,100.43
140,11865.43,99.71
141,11462.29,105.71
142,11137,113.57
143,11172.14,113.86
144,11115.57,117.71
145,10584.71,120.14
146,10724.43,121.14
147,10991.71,126
148,10544,124.57
149,10336.14,122.71
150,10306.14,130.14
151,10257.71,141.14
152,10215.86,152.57
153,9724.86,170
154,9359.57,177.86
155,9039.57,175.71
156,8448.14,175.14
157,7907.57,183.57
158,7330.86,184.86
159,7001.43,165.86
160,6812.71,154.86
161,6649.86,155.29
162,6524.86,157.43
163,6439.57,160
164,6494.57,164.43
165,6880.29,162.57
166,6678.29,166.57
167,6458.57,173.43
168,6151.43,176.57
169,5801.43,180.86
170,5590.43,180.29
171,5305.71,172.14
172,4735.14,166.71
173,4495,162.29
174,4285.86,146.71
175,3994.29,132.71
176,3879.29,124.71
177,3819.29,122.57
178,3652.86,117.43
179,3525,114.43
180,3341.29,117
181,3217.14,112.71
182,3058,118.71
183,3002.14,113.43
184,2948.86,112.86
185,2994.83,113.43
186,2858.5,109.71
187,2908.83,111.71
188,2806,113.29
189,2882.5,100.86
190,2879.33,104.29
191,2871.5,97.71
192,2721.71,77.29
193,2672.29,87.71
194,2531.14,96.57
195,2595.71,107.43
196,2529.14,112.71
197,2509,108.43
198,2494.43,110.14
199,2679.14,124.57
200,2721.86,117.71
201,2817.86,108.57
202,2754.14,103.29
203,2808.86,98.14
204,2822.86,98.29
205,2815.57,96.43
206,2723.29,89.86
207,2756.86,97
208,2654.86,101.29
209,2603.86,98.57
210,2492.71,105
211,2401.43,105.14
212,2266.14,102.86
213,2379.86,103.86
214,2288.14,99.86
215,2300.57,92.71
216,2273.86,91.29
217,2272.71,86.57
218,2270.71,91.29
219,2367.43,96.43
220,2222.43,89.14
221,2313,83.86
222,2409.86,89.14
223,2445.29,90.29
224,2047.14,79.71
225,2576,99
226,2592.86,100
227,2660.57,109.14
228,2703.57,98.71
229,2710.71,95.43
230,2788,92
231,3365.71,104.43
232,2932.71,86.14
233,2957.57,87
234,3091.43,82
235,2985.86,87.86
236,3300.43,75.86
237,3334.71,72.86
238,3395.71,71.43
239,3373.71,66
240,3612.29,61.14
241,3703.14,57.14
242,3984.71,51.57
243,3790.43,54.43
244,4062.29,54.29
245,3756.57,49.14
246,4110.86,51.43
247,4292.86,55
248,4341.29,55
249,4385.29,50.14
250,4679.43,44.71
251,4629.86,42
252,4932.86,48.43
253,5212.14,47.43
254,5108.29,49.29
255,5067.71,51.14
