GEO_ID,County,State,S1901_C01_001E,S1901_C01_001EA,S1901_C01_001M,S1901_C01_001MA,S1901_C01_002E,S1901_C01_002EA,S1901_C01_002M,S1901_C01_002MA,S1901_C01_003E,S1901_C01_003M,S1901_C01_003MA,S1901_C01_003EA,S1901_C01_004E,S1901_C01_004M,S1901_C01_004MA,S1901_C01_004EA,S1901_C01_005E,S1901_C01_005M,S1901_C01_005MA,S1901_C01_005EA,S1901_C01_006E,S1901_C01_006M,S1901_C01_006MA,S1901_C01_006EA,S1901_C01_007E,S1901_C01_007M,S1901_C01_007MA,S1901_C01_007EA,S1901_C01_008E,S1901_C01_008M,S1901_C01_008MA,S1901_C01_008EA,S1901_C01_009E,S1901_C01_009EA,S1901_C01_009M,S1901_C01_009MA,S1901_C01_010E,S1901_C01_010EA,S1901_C01_010M,S1901_C01_010MA,S1901_C01_011E,S1901_C01_011M,S1901_C01_011MA,S1901_C01_011EA,S1901_C01_012E,S1901_C01_012M,S1901_C01_012MA,S1901_C01_012EA,S1901_C01_013E,S1901_C01_013EA,S1901_C01_013M,S1901_C01_013MA,S1901_C01_014E,S1901_C01_014EA,S1901_C01_014M,S1901_C01_014MA,S1901_C01_015E,S1901_C01_015EA,S1901_C01_015M,S1901_C01_015MA,S1901_C01_016E,S1901_C01_016EA,S1901_C01_016M,S1901_C01_016MA,S1901_C02_001E,S1901_C02_001M,S1901_C02_001MA,S1901_C02_001EA,S1901_C02_002E,S1901_C02_002EA,S1901_C02_002M,S1901_C02_002MA,S1901_C02_003E,S1901_C02_003M,S1901_C02_003MA,S1901_C02_003EA,S1901_C02_004E,S1901_C02_004EA,S1901_C02_004M,S1901_C02_004MA,S1901_C02_005E,S1901_C02_005M,S1901_C02_005MA,S1901_C02_005EA,S1901_C02_006E,S1901_C02_006EA,S1901_C02_006M,S1901_C02_006MA,S1901_C02_007E,S1901_C02_007M,S1901_C02_007MA,S1901_C02_007EA,S1901_C02_008E,S1901_C02_008M,S1901_C02_008MA,S1901_C02_008EA,S1901_C02_009E,S1901_C02_009M,S1901_C02_009MA,S1901_C02_009EA,S1901_C02_010E,S1901_C02_010EA,S1901_C02_010M,S1901_C02_010MA,S1901_C02_011E,S1901_C02_011M,S1901_C02_011MA,S1901_C02_011EA,S1901_C02_012E,S1901_C02_012EA,S1901_C02_012M,S1901_C02_012MA,S1901_C02_013E,S1901_C02_013EA,S1901_C02_013M,S1901_C02_013MA,S1901_C02_014E,S1901_C02_014M,S1901_C02_014MA,S1901_C02_014EA,S1901_C02_015E,S1901_C02_015M,S1901_C02_015MA,S1901_C02_015EA,S1901_C02_016E,S1901_C02_016EA,S1901_C02_016M,S1901_C02_016MA,S1901_C03_001E,S1901_C03_001M,S1901_C03_001MA,S1901_C03_001EA,S1901_C03_002E,S1901_C03_002EA,S1901_C03_002M,S1901_C03_002MA,S1901_C03_003E,S1901_C03_003EA,S1901_C03_003M,S1901_C03_003MA,S1901_C03_004E,S1901_C03_004M,S1901_C03_004MA,S1901_C03_004EA,S1901_C03_005E,S1901_C03_005M,S1901_C03_005MA,S1901_C03_005EA,S1901_C03_006E,S1901_C03_006M,S1901_C03_006MA,S1901_C03_006EA,S1901_C03_007E,S1901_C03_007EA,S1901_C03_007M,S1901_C03_007MA,S1901_C03_008E,S1901_C03_008M,S1901_C03_008MA,S1901_C03_008EA,S1901_C03_009E,S1901_C03_009EA,S1901_C03_009M,S1901_C03_009MA,S1901_C03_010E,S1901_C03_010M,S1901_C03_010MA,S1901_C03_010EA,S1901_C03_011E,S1901_C03_011EA,S1901_C03_011M,S1901_C03_011MA,S1901_C03_012E,S1901_C03_012M,S1901_C03_012MA,S1901_C03_012EA,S1901_C03_013E,S1901_C03_013EA,S1901_C03_013M,S1901_C03_013MA,S1901_C03_014E,S1901_C03_014EA,S1901_C03_014M,S1901_C03_014MA,S1901_C03_015E,S1901_C03_015EA,S1901_C03_015M,S1901_C03_015MA,S1901_C03_016E,S1901_C03_016M,S1901_C03_016MA,S1901_C03_016EA,S1901_C04_001E,S1901_C04_001EA,S1901_C04_001M,S1901_C04_001MA,S1901_C04_002E,S1901_C04_002M,S1901_C04_002MA,S1901_C04_002EA,S1901_C04_003E,S1901_C04_003EA,S1901_C04_003M,S1901_C04_003MA,S1901_C04_004E,S1901_C04_004EA,S1901_C04_004M,S1901_C04_004MA,S1901_C04_005E,S1901_C04_005M,S1901_C04_005MA,S1901_C04_005EA,S1901_C04_006E,S1901_C04_006M,S1901_C04_006MA,S1901_C04_006EA,S1901_C04_007E,S1901_C04_007M,S1901_C04_007MA,S1901_C04_007EA,S1901_C04_008E,S1901_C04_008EA,S1901_C04_008M,S1901_C04_008MA,S1901_C04_009E,S1901_C04_009M,S1901_C04_009MA,S1901_C04_009EA,S1901_C04_010E,S1901_C04_010EA,S1901_C04_010M,S1901_C04_010MA,S1901_C04_011E,S1901_C04_011EA,S1901_C04_011M,S1901_C04_011MA,S1901_C04_012E,S1901_C04_012EA,S1901_C04_012M,S1901_C04_012MA,S1901_C04_013E,S1901_C04_013M,S1901_C04_013MA,S1901_C04_013EA,S1901_C04_014E,S1901_C04_014M,S1901_C04_014MA,S1901_C04_014EA,S1901_C04_015E,S1901_C04_015M,S1901_C04_015MA,S1901_C04_015EA,S1901_C04_016E,S1901_C04_016M,S1901_C04_016MA,S1901_C04_016EA
0500000US01003,Baldwin, Alabama,82325,null,3231,null,4.9,null,1.6,null,3.9,1.4,null,null,9.4,2,null,null,10.4,2.4,null,null,16.5,2.7,null,null,14.1,2.4,null,null,13.3,2.3,null,null,16,null,2.7,null,4.9,null,1.3,null,6.6,1.5,null,null,56439,6268,null,null,81449,null,5336,null,35.8,null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),53962,3415,null,null,2.8,null,1.6,null,1.9,1.1,null,null,6.2,null,2.3,null,10,3,null,null,14.9,null,3.7,null,12.8,2.5,null,null,15.4,3.2,null,null,19.9,3.9,null,null,6.7,null,1.9,null,9.2,2.2,null,null,76892,null,7776,null,97364,null,7352,null,(X),(X),(X),(X),38,(X),(X),null,(X),(X),(X),(X),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,88020,5630,null,null,N,N,N,N,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28363,null,2983,null,9,3.6,null,null,7.8,null,3.6,null,16.6,null,4.4,null,12.9,5.3,null,null,18.6,5.3,null,null,18,5.6,null,null,6,null,2.6,null,8.3,3.7,null,null,1.5,null,1.3,null,1.2,null,1.1,null,37494,null,5940,null,48871,5729,null,null,(X),(X),(X),(X),(X),(X),(X),(X),30.1,(X),(X),null
0500000US01015,Calhoun, Alabama,44636,null,2010,null,9.6,null,3.1,null,7.3,2.4,null,null,8.4,2,null,null,13.1,3.1,null,null,12.8,2.6,null,null,18.7,3.1,null,null,12.2,3.1,null,null,12.9,null,2.6,null,2.8,null,1.6,null,2.2,0.8,null,null,48156,4922,null,null,61137,null,4376,null,38.2,null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28975,2198,null,null,7.1,null,3.3,null,2,1.5,null,null,7,null,2.6,null,10.9,3.7,null,null,11.8,null,3.2,null,22.5,5.1,null,null,12.8,3.8,null,null,18.2,3.7,null,null,4.2,null,2.5,null,3.4,1.3,null,null,61918,null,3560,null,75168,null,6321,null,(X),(X),(X),(X),38.7,(X),(X),null,(X),(X),(X),(X),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,72489,11305,null,null,N,N,N,N,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),15661,null,1965,null,14.4,5.4,null,null,17.2,null,5.7,null,14.8,null,4.4,null,17.5,5.1,null,null,14.6,5.8,null,null,11,3.4,null,null,8,null,4.5,null,2.7,2.6,null,null,0,null,1.1,null,0,null,1.1,null,26143,null,3350,null,32609,4229,null,null,(X),(X),(X),(X),(X),(X),(X),(X),35.7,(X),(X),null
0500000US01043,Cullman, Alabama,32090,null,1233,null,4.4,null,1.5,null,5.4,2.2,null,null,11,2.8,null,null,13.2,3.5,null,null,14.9,3.1,null,null,22,3.7,null,null,15.3,3.6,null,null,8.6,null,2.1,null,2.9,null,1.6,null,2.4,1.4,null,null,50906,3480,null,null,61920,null,4428,null,43.2,null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23212,1335,null,null,3,null,1.4,null,1.4,1.2,null,null,6.7,null,2.6,null,9.6,3.3,null,null,15.1,null,3.7,null,27.1,5.1,null,null,18.6,4.3,null,null,11.3,2.9,null,null,3.8,null,2.2,null,3.4,1.9,null,null,60886,null,3502,null,72582,null,5821,null,(X),(X),(X),(X),42.7,(X),(X),null,(X),(X),(X),(X),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,69430,6597,null,null,N,N,N,N,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),8878,null,1290,null,10.1,4.8,null,null,16.2,null,7.1,null,28.4,null,7.9,null,21.4,8.1,null,null,11.5,3.5,null,null,8.7,4.5,null,null,2.8,null,3.2,null,0.4,0.6,null,null,0.5,null,0.9,null,0,null,1.9,null,22464,null,3132,null,28508,2622,null,null,(X),(X),(X),(X),(X),(X),(X),(X),37.1,(X),(X),null
0500000US01049,DeKalb, Alabama,24880,null,1347,null,7.2,null,2.8,null,8.4,3.8,null,null,15.6,3.5,null,null,7.6,3.1,null,null,16.9,4.1,null,null,18.9,3.3,null,null,10.7,3.3,null,null,11,null,2.9,null,3,null,2,null,0.7,0.6,null,null,44208,5702,null,null,56777,null,4922,null,36.4,null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),16366,1614,null,null,4,null,3.1,null,2.5,3.5,null,null,12.1,null,4.6,null,7.7,3.5,null,null,19.2,null,4.9,null,21.3,4.1,null,null,12.5,4.5,null,null,15.6,4.2,null,null,4.4,null,2.9,null,0.7,0.7,null,null,54871,null,7736,null,66524,null,5820,null,(X),(X),(X),(X),36.7,(X),(X),null,(X),(X),(X),(X),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,61984,5493,null,null,N,N,N,N,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),8514,null,1429,null,15.7,6.6,null,null,19.8,null,7.4,null,22.5,null,7,null,7.5,5.1,null,null,11,6,null,null,14,5.4,null,null,7.5,null,5.9,null,0.9,1,null,null,0.5,null,0.9,null,0.6,null,1,null,21213,null,4028,null,36416,10258,null,null,(X),(X),(X),(X),(X),(X),(X),(X),36,(X),(X),null
0500000US01051,Elmore, Alabama,30712,null,1330,null,2.9,null,1.4,null,1.9,1.3,null,null,13.2,4.1,null,null,10.8,3.3,null,null,10.3,3.2,null,null,21,3.8,null,null,11.4,3.2,null,null,16.3,null,4,null,6.4,null,2,null,5.8,2.2,null,null,61854,5816,null,null,82576,null,7453,null,34.9,null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21146,1709,null,null,1.6,null,1.3,null,1.1,1.1,null,null,7.7,null,3.8,null,10.2,4.1,null,null,7.9,null,3.2,null,21.1,4.6,null,null,12.9,3.9,null,null,20.6,5.2,null,null,9.1,null,2.9,null,7.8,3,null,null,76574,null,9027,null,96212,null,8445,null,(X),(X),(X),(X),32.8,(X),(X),null,(X),(X),(X),(X),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,92304,14646,null,null,N,N,N,N,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),9566,null,1601,null,7.3,4.1,null,null,4,null,3.2,null,25.8,null,8.1,null,13,7,null,null,13.8,7.5,null,null,21.1,7.5,null,null,6.4,null,4.5,null,7.3,4.6,null,null,0.4,null,0.8,null,1,null,1.3,null,34964,null,10694,null,50153,12317,null,null,(X),(X),(X),(X),(X),(X),(X),(X),39.1,(X),(X),null
0500000US01055,Etowah, Alabama,40053,null,1930,null,9.9,null,2.6,null,6.3,1.6,null,null,15.9,3.4,null,null,11.8,2.4,null,null,13.4,2.6,null,null,17.5,2.9,null,null,9.7,3.2,null,null,10.3,null,2.4,null,3,null,1.4,null,2.3,1.2,null,null,41447,4256,null,null,59944,null,6751,null,40.2,null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25177,2229,null,null,4.8,null,1.9,null,4.6,2.1,null,null,10.8,null,3.4,null,11.2,2.9,null,null,12.8,null,3.3,null,22.3,4,null,null,10.9,3.5,null,null,15,3.5,null,null,4.3,null,2.2,null,3.3,1.9,null,null,53690,null,3889,null,71632,null,8790,null,(X),(X),(X),(X),45.1,(X),(X),null,(X),(X),(X),(X),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,65053,7820,null,null,N,N,N,N,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),14876,null,1961,null,19.7,6.2,null,null,9.2,null,3.3,null,23.9,null,6.2,null,14.1,4.6,null,null,13.3,4.6,null,null,8.6,4,null,null,7.5,null,5.1,null,2.7,1.8,null,null,0.4,null,0.7,null,0.6,null,0.8,null,23712,null,3356,null,39099,10036,null,null,(X),(X),(X),(X),(X),(X),(X),(X),31.2,(X),(X),null
0500000US01069,Houston, Alabama,39761,null,1040,null,9.2,null,1.5,null,6,1.1,null,null,11.2,1.8,null,null,11.2,1.3,null,null,12.4,1.6,null,null,18.9,2,null,null,10.2,1.4,null,null,11.6,null,1.5,null,5.2,null,1.4,null,4.3,0.9,null,null,50103,2903,null,null,69495,null,3569,null,43.6,null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25893,1260,null,null,5,null,1.4,null,3.8,1.5,null,null,11,null,2.5,null,9.9,1.5,null,null,10.5,null,1.7,null,18.9,2.5,null,null,12.2,1.9,null,null,15.2,2.1,null,null,6.9,null,2.1,null,6.5,1.3,null,null,62034,null,5647,null,84280,null,5468,null,(X),(X),(X),(X),44.4,(X),(X),null,(X),(X),(X),(X),17794,1000,null,null,1.6,null,0.9,null,2.3,null,1.7,null,5.7,1.9,null,null,5.5,1.7,null,null,11.1,2.2,null,null,20,null,2.9,null,15.7,2.7,null,null,20,null,2.6,null,9.3,2.8,null,null,8.9,null,1.9,null,81335,5867,null,null,103863,null,7147,null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),13868,null,1027,null,18.3,3.4,null,null,10.6,null,2.1,null,13.8,null,2.5,null,14,2.6,null,null,14.3,3.3,null,null,16.5,3,null,null,6.2,null,1.8,null,4.2,1.5,null,null,1.7,null,1.3,null,0.3,null,0.2,null,30245,null,2841,null,39072,3326,null,null,(X),(X),(X),(X),(X),(X),(X),(X),40.1,(X),(X),null
0500000US01073,Jefferson, Alabama,264753,null,3376,null,9.7,null,1.1,null,5,0.7,null,null,8.9,1.1,null,null,10.4,1,null,null,12.6,1.4,null,null,17,1.4,null,null,9.8,1.1,null,null,14.1,null,0.9,null,5.9,null,0.9,null,6.6,0.8,null,null,53944,2334,null,null,79833,null,2865,null,42.4,null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),164678,5036,null,null,5.4,null,0.9,null,2.8,0.7,null,null,5.8,null,1.2,null,9,1.5,null,null,12.1,null,1.6,null,17.8,1.6,null,null,12.5,1.5,null,null,17.5,1.3,null,null,7.8,null,1.2,null,9.2,1.2,null,null,70617,null,3223,null,96989,null,4179,null,(X),(X),(X),(X),44.6,(X),(X),null,(X),(X),(X),(X),110529,4815,null,null,1.4,null,0.6,null,0.9,null,0.5,null,2.7,0.9,null,null,5.8,1.3,null,null,10.9,1.8,null,null,17.4,null,1.8,null,14.3,1.8,null,null,22.2,null,1.9,null,11.1,1.6,null,null,13.3,null,1.6,null,93295,3944,null,null,120888,null,4913,null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),100075,null,4766,null,17.1,2.2,null,null,9.2,null,1.6,null,14.1,null,2.1,null,13.8,2.1,null,null,13.5,2,null,null,15.6,2.2,null,null,5.8,null,1.2,null,6.7,1.5,null,null,2.2,null,1,null,2,null,0.7,null,31870,null,1572,null,48905,3415,null,null,(X),(X),(X),(X),(X),(X),(X),(X),37.7,(X),(X),null
0500000US01077,Lauderdale, Alabama,38761,null,1573,null,9.3,null,2.6,null,7,2.3,null,null,10.8,2.7,null,null,10.2,2.6,null,null,15.2,3,null,null,16.6,3.4,null,null,13.3,3.3,null,null,12.5,null,2.9,null,2.3,null,1,null,2.8,1.3,null,null,46632,4682,null,null,62091,null,4367,null,44.3,null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23883,1892,null,null,4.3,null,2,null,2.2,1.8,null,null,9.2,null,3.8,null,9.7,3.3,null,null,14.2,null,4.2,null,17.1,4.2,null,null,17.9,4.7,null,null,17.8,4.3,null,null,3.8,null,1.8,null,3.8,1.7,null,null,65564,null,5679,null,77519,null,6513,null,(X),(X),(X),(X),43,(X),(X),null,(X),(X),(X),(X),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,75745,8178,null,null,N,N,N,N,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),14878,null,1576,null,17.6,5.8,null,null,14.8,null,5.5,null,15.3,null,4.1,null,10.8,4.1,null,null,18.2,6.1,null,null,15.3,5.1,null,null,4,null,2.8,null,2.9,1.7,null,null,0,null,1.2,null,1.2,null,1.9,null,26571,null,4844,null,35213,4282,null,null,(X),(X),(X),(X),(X),(X),(X),(X),44.1,(X),(X),null
0500000US01081,Lee, Alabama,64448,null,1810,null,11.2,null,2.9,null,6.3,2.1,null,null,11.7,3.1,null,null,6.3,1.9,null,null,12.2,2.4,null,null,17.9,3,null,null,9.8,2.7,null,null,13,null,2.6,null,5.7,null,1.7,null,5.8,1.5,null,null,53712,6669,null,null,78000,null,6474,null,32,null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37809,2423,null,null,3.6,null,1.8,null,1.3,1,null,null,7.8,null,3.3,null,5.6,2.5,null,null,11,null,2.9,null,17.3,3.3,null,null,16.4,4.5,null,null,19.6,4.1,null,null,8.3,null,2.6,null,9.2,2.6,null,null,80982,null,5855,null,103361,null,8487,null,(X),(X),(X),(X),31.4,(X),(X),null,(X),(X),(X),(X),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,86309,9150,null,null,N,N,N,N,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26639,null,2958,null,22.6,6.2,null,null,13.4,null,4.6,null,17.9,null,5.3,null,7.7,3.1,null,null,13.2,4.4,null,null,17.8,5.3,null,null,1.6,null,1.2,null,3.1,2.3,null,null,1.7,null,1.9,null,1.1,null,1.1,null,22163,null,4199,null,40965,10973,null,null,(X),(X),(X),(X),(X),(X),(X),(X),32.1,(X),(X),null
