County,State,Estimate,Population_total,Ratio
Autauga,Alabama,9929,55869,0.18
Baldwin,Alabama,48148,223234,0.22
Barbour,Alabama,2080,24686,0.08
Bibb,Alabama,1678,22394,0.07
Blount,Alabama,5210,57826,0.09
Bullock,Alabama,856,10101,0.08
Butler,Alabama,2230,19448,0.11
Calhoun,Alabama,14620,113605,0.13
Chambers,Alabama,3163,33254,0.1
Cherokee,Alabama,2407,26196,0.09
Chilton,Alabama,3823,44428,0.09
Choctaw,Alabama,1113,12589,0.09
Clarke,Alabama,2050,23622,0.09
Clay,Alabama,999,13235,0.08
Cleburne,Alabama,1616,14910,0.11
Coffee,Alabama,8044,52342,0.15
Colbert,Alabama,7070,55241,0.13
Conecuh,Alabama,1128,12067,0.09
Coosa,Alabama,1059,10663,0.1
Covington,Alabama,4020,37049,0.11
Crenshaw,Alabama,1687,13772,0.12
Cullman,Alabama,8004,83768,0.1
Dale,Alabama,6078,49172,0.12
Dallas,Alabama,3854,37196,0.1
DeKalb,Alabama,6246,71513,0.09
Elmore,Alabama,14060,81209,0.17
Escambia,Alabama,3224,36633,0.09
Etowah,Alabama,12815,102268,0.13
Fayette,Alabama,1451,16302,0.09
Franklin,Alabama,2907,31362,0.09
Geneva,Alabama,2331,26271,0.09
Greene,Alabama,586,8111,0.07
Hale,Alabama,1411,14651,0.1
Henry,Alabama,2076,17205,0.12
Houston,Alabama,15672,105882,0.15
Jackson,Alabama,5175,51626,0.1
Jefferson,Alabama,150124,658573,0.23
Lamar,Alabama,1174,13805,0.09
Lauderdale,Alabama,14948,92729,0.16
Lawrence,Alabama,2930,32924,0.09
Lee,Alabama,34273,164542,0.21
Limestone,Alabama,16971,98915,0.17
Lowndes,Alabama,1037,9726,0.11
Macon,Alabama,2450,18068,0.14
Madison,Alabama,105935,372909,0.28
Marengo,Alabama,2109,18863,0.11
Marion,Alabama,2715,29709,0.09
Marshall,Alabama,12387,96774,0.13
Mobile,Alabama,64689,413210,0.16
Monroe,Alabama,1983,20733,0.1
Montgomery,Alabama,50254,226486,0.22
Morgan,Alabama,18476,119679,0.15
Perry,Alabama,1340,8923,0.15
Pickens,Alabama,2047,19930,0.1
Pike,Alabama,4580,33114,0.14
Randolph,Alabama,2607,22722,0.11
Russell,Alabama,6937,57961,0.12
St. Clair,Alabama,9880,89512,0.11
Shelby,Alabama,62431,217702,0.29
Sumter,Alabama,1744,12427,0.14
Talladega,Alabama,8377,79978,0.1
Tallapoosa,Alabama,5287,40367,0.13
Tuscaloosa,Alabama,39660,209355,0.19
Walker,Alabama,5080,63521,0.08
Washington,Alabama,1437,16326,0.09
Wilcox,Alabama,889,10373,0.09
Winston,Alabama,2201,23629,0.09
Aleutians East Borough,Alaska,301,3337,0.09
Aleutians West Census Area,Alaska,703,5634,0.12
Anchorage Municipality,Alaska,69282,288000,0.24
Bethel Census Area,Alaska,1164,18386,0.06
Bristol Bay Borough,Alaska,143,836,0.17
Denali Borough,Alaska,668,2097,0.32
Dillingham Census Area,Alaska,639,4916,0.13
Fairbanks North Star Borough,Alaska,19402,96849,0.2
Haines Borough,Alaska,625,2530,0.25
Hoonah-Angoon Census Area,Alaska,365,2148,0.17
Juneau City and Borough,Alaska,8666,31974,0.27
Kenai Peninsula Borough,Alaska,9995,58708,0.17
Ketchikan Gateway Borough,Alaska,2437,13901,0.18
Kodiak Island Borough,Alaska,2501,12998,0.19
Kusilvak Census Area,Alaska,157,8314,0.02
Lake and Peninsula Borough,Alaska,148,1592,0.09
Matanuska-Susitna Borough,Alaska,14725,108317,0.14
Nome Census Area,Alaska,891,10004,0.09
North Slope Borough,Alaska,1075,9832,0.11
Northwest Arctic Borough,Alaska,557,7621,0.07
Petersburg Borough,Alaska,623,3266,0.19
Prince of Wales-Hyder Census Area,Alaska,814,6203,0.13
Sitka City and Borough,Alaska,2051,8493,0.24
Skagway Municipality,Alaska,257,1183,0.22
Southeast Fairbanks Census Area,Alaska,890,6893,0.13
Valdez-Cordova Census Area,Alaska,1998,9202,0.22
Wrangell City and Borough,Alaska,374,2502,0.15
Yakutat City and Borough,Alaska,100,579,0.17
Yukon-Koyukuk Census Area,Alaska,468,5230,0.09
Apache,Arizona,5529,71887,0.08
Cochise,Arizona,20253,125922,0.16
Coconino,Arizona,30042,143476,0.21
Gila,Arizona,7368,54018,0.14
Graham,Arizona,3592,38837,0.09
Greenlee,Arizona,791,9498,0.08
La Paz,Arizona,1928,21108,0.09
Maricopa,Arizona,941317,4485414,0.21
Mohave,Arizona,20505,212181,0.1
Navajo,Arizona,10758,110924,0.1
Pima,Arizona,222733,1047279,0.21
Pinal,Arizona,58470,462789,0.13
Santa Cruz,Arizona,5987,46498,0.13
Yavapai,Arizona,45341,235099,0.19
Yuma,Arizona,19912,213787,0.09
Arkansas,Arkansas,1959,17486,0.11
Ashley,Arkansas,1703,19657,0.09
Baxter,Arkansas,5682,41932,0.14
Benton,Arkansas,58000,279141,0.21
Boone,Arkansas,4193,37432,0.11
Bradley,Arkansas,1078,10763,0.1
Calhoun,Arkansas,424,5189,0.08
Carroll,Arkansas,4213,28380,0.15
Chicot,Arkansas,1182,10118,0.12
Clark,Arkansas,3508,22320,0.16
Clay,Arkansas,1323,14551,0.09
Cleburne,Arkansas,2906,24919,0.12
Cleveland,Arkansas,926,7956,0.12
Columbia,Arkansas,2879,23457,0.12
Conway,Arkansas,2263,20846,0.11
Craighead,Arkansas,18091,110332,0.16
Crawford,Arkansas,6747,63257,0.11
Crittenden,Arkansas,5400,47955,0.11
Cross,Arkansas,1661,16419,0.1
Dallas,Arkansas,610,7009,0.09
Desha,Arkansas,1100,11361,0.1
Drew,Arkansas,2656,18219,0.15
Faulkner,Arkansas,23183,126007,0.18
Franklin,Arkansas,1459,17715,0.08
Fulton,Arkansas,1083,12477,0.09
Garland,Arkansas,15464,99386,0.16
Grant,Arkansas,2380,18265,0.13
Greene,Arkansas,4859,45325,0.11
Hempstead,Arkansas,2162,21532,0.1
Hot Spring,Arkansas,3227,33771,0.1
Howard,Arkansas,1192,13202,0.09
Independence,Arkansas,4406,37825,0.12
Izard,Arkansas,1332,13629,0.1
Jackson,Arkansas,1239,16719,0.07
Jefferson,Arkansas,8439,66824,0.13
Johnson,Arkansas,2679,26578,0.1
Lafayette,Arkansas,775,6624,0.12
Lawrence,Arkansas,1730,16406,0.11
Lee,Arkansas,726,8857,0.08
Lincoln,Arkansas,1004,13024,0.08
Little River,Arkansas,1090,12259,0.09
Logan,Arkansas,2043,21466,0.1
Lonoke,Arkansas,9944,73309,0.14
Madison,Arkansas,1590,16576,0.1
Marion,Arkansas,2151,16694,0.13
Miller,Arkansas,4970,43257,0.11
Mississippi,Arkansas,3771,40651,0.09
Monroe,Arkansas,639,6701,0.1
Montgomery,Arkansas,902,8986,0.1
Nevada,Arkansas,853,8252,0.1
Newton,Arkansas,1172,7753,0.15
Ouachita,Arkansas,2370,23382,0.1
Perry,Arkansas,918,10455,0.09
Phillips,Arkansas,1653,17782,0.09
Pike,Arkansas,1301,10718,0.12
Poinsett,Arkansas,1804,23528,0.08
Polk,Arkansas,1981,19964,0.1
Pope,Arkansas,9220,64072,0.14
Prairie,Arkansas,923,8062,0.11
Pulaski,Arkansas,91541,391911,0.23
Randolph,Arkansas,1694,17958,0.09
St. Francis,Arkansas,1861,24994,0.07
Saline,Arkansas,22073,122437,0.18
Scott,Arkansas,652,10281,0.06
Searcy,Arkansas,689,7881,0.09
Sebastian,Arkansas,18122,127827,0.14
Sevier,Arkansas,1367,17007,0.08
Sharp,Arkansas,1261,17442,0.07
Stone,Arkansas,1279,12506,0.1
Union,Arkansas,5642,38682,0.15
Van Buren,Arkansas,1777,16545,0.11
Washington,Arkansas,46968,239187,0.2
White,Arkansas,10659,78753,0.14
Woodruff,Arkansas,655,6320,0.1
Yell,Arkansas,1858,21341,0.09
Alameda,California,556105,1671329,0.33
Alpine,California,266,1129,0.24
Amador,California,5837,39752,0.15
Butte,California,40149,219186,0.18
Calaveras,California,6384,45905,0.14
Colusa,California,2052,21547,0.1
Contra Costa,California,333398,1153526,0.29
Del Norte,California,2907,27812,0.1
El Dorado,California,46995,192843,0.24
Fresno,California,127919,999101,0.13
Glenn,California,2541,28393,0.09
Humboldt,California,28123,135558,0.21
Imperial,California,16760,181215,0.09
Inyo,California,3587,18039,0.2
Kern,California,88094,900202,0.1
Kings,California,13630,152940,0.09
Lake,California,7212,64386,0.11
Lassen,California,2928,30573,0.1
Los Angeles,California,2241079,10039107,0.22
Madera,California,14192,157327,0.09
Marin,California,113274,258826,0.44
Mariposa,California,3348,17203,0.19
Mendocino,California,15157,86749,0.17
Merced,California,22118,277680,0.08
Modoc,California,1024,8841,0.12
Mono,California,2861,14444,0.2
Monterey,California,68106,434061,0.16
Napa,California,35091,137744,0.25
Nevada,California,28307,99755,0.28
Orange,California,880086,3175692,0.28
Placer,California,107378,398329,0.27
Plumas,California,3432,18807,0.18
Riverside,California,347937,2470546,0.14
Sacramento,California,317319,1552058,0.2
San Benito,California,7686,62808,0.12
San Bernardino,California,283484,2180085,0.13
San Diego,California,871782,3338330,0.26
San Francisco,California,403716,881549,0.46
San Joaquin,California,87705,762148,0.12
San Luis Obispo,California,66812,283111,0.24
San Mateo,California,281049,766573,0.37
Santa Barbara,California,93973,446499,0.21
Santa Clara,California,699520,1927852,0.36
Santa Cruz,California,73511,273213,0.27
Shasta,California,28044,180080,0.16
Sierra,California,434,3005,0.14
Siskiyou,California,7343,43539,0.17
Solano,California,81736,447643,0.18
Sonoma,California,127582,494336,0.26
Stanislaus,California,58652,550660,0.11
Sutter,California,11424,96971,0.12
Tehama,California,6868,65084,0.11
Trinity,California,1922,12285,0.16
Tulare,California,39697,466195,0.09
Tuolumne,California,8471,54478,0.16
Ventura,California,192675,846006,0.23
Yolo,California,52851,220500,0.24
Yuba,California,8193,78668,0.1
Adams,Colorado,78690,517421,0.15
Alamosa,Colorado,2409,16233,0.15
Arapahoe,Colorado,187205,656590,0.29
Archuleta,Colorado,3767,14029,0.27
Baca,Colorado,558,3581,0.16
Bent,Colorado,517,5577,0.09
Boulder,Colorado,132071,326196,0.4
Broomfield,Colorado,26198,70465,0.37
Chaffee,Colorado,5244,20356,0.26
Cheyenne,Colorado,257,1831,0.14
Clear Creek,Colorado,3546,9700,0.37
Conejos,Colorado,1109,8205,0.14
