County,State,Estimate
Autauga,Alabama,55639
Baldwin,Alabama,218289
Barbour,Alabama,25026
Bibb,Alabama,22374
Blount,Alabama,57755
Bullock,Alabama,10173
Butler,Alabama,19726
Calhoun,Alabama,114324
Chambers,Alabama,33427
Cherokee,Alabama,26035
Chilton,Alabama,44147
Choctaw,Alabama,12755
Clarke,Alabama,23866
Clay,Alabama,13285
Cleburne,Alabama,14952
Coffee,Alabama,52238
Colbert,Alabama,54957
Conecuh,Alabama,12219
Coosa,Alabama,10696
Covington,Alabama,37096
Crenshaw,Alabama,13826
Cullman,Alabama,83345
Dale,Alabama,49293
Dallas,Alabama,38184
DeKalb,Alabama,71430
Elmore,Alabama,81526
Escambia,Alabama,36775
Etowah,Alabama,102721
Fayette,Alabama,16406
Franklin,Alabama,31587
Geneva,Alabama,26383
Greene,Alabama,8221
Hale,Alabama,14754
Henry,Alabama,17123
Houston,Alabama,105319
Jackson,Alabama,51765
Jefferson,Alabama,658615
Lamar,Alabama,13854
Lauderdale,Alabama,92870
Lawrence,Alabama,32969
Lee,Alabama,163461
Limestone,Alabama,96921
Lowndes,Alabama,9936
Macon,Alabama,18437
Madison,Alabama,367686
Marengo,Alabama,19138
Marion,Alabama,29818
Marshall,Alabama,96137
Mobile,Alabama,413977
Monroe,Alabama,21006
Montgomery,Alabama,226451
Morgan,Alabama,119352
Perry,Alabama,9104
Pickens,Alabama,20049
Pike,Alabama,33274
Randolph,Alabama,22732
Russell,Alabama,57938
St. Clair,Alabama,88929
Shelby,Alabama,216350
Sumter,Alabama,12595
Talladega,Alabama,80244
Tallapoosa,Alabama,40450
Tuscaloosa,Alabama,208854
Walker,Alabama,63802
Washington,Alabama,16336
Wilcox,Alabama,10552
Winston,Alabama,23712
Aleutians East Borough,Alaska,3389
Aleutians West Census Area,Alaska,5708
Anchorage Municipality,Alaska,292090
Bethel Census Area,Alaska,18263
Bristol Bay Borough,Alaska,739
Chugach Census Area,Alaska,6495
Copper River Census Area,Alaska,2894
Denali Borough,Alaska,2502
Dillingham Census Area,Alaska,4934
Fairbanks North Star Borough,Alaska,98455
Haines Borough,Alaska,2547
Hoonah-Angoon Census Area,Alaska,2135
Juneau City and Borough,Alaska,32099
Kenai Peninsula Borough,Alaska,58809
Ketchikan Gateway Borough,Alaska,13833
Kodiak Island Borough,Alaska,13383
Kusilvak Census Area,Alaska,8298
Lake and Peninsula Borough,Alaska,1156
Matanuska-Susitna Borough,Alaska,107360
Nome Census Area,Alaska,10009
North Slope Borough,Alaska,9375
Northwest Arctic Borough,Alaska,7709
Petersburg Borough,Alaska,3278
Prince of Wales-Hyder Census Area,Alaska,6338
Sitka City and Borough,Alaska,8569
Skagway Municipality,Alaska,1300
Southeast Fairbanks Census Area,Alaska,6911
Wrangell City and Borough,Alaska,2510
Yakutat City and Borough,Alaska,597
Yukon-Koyukuk Census Area,Alaska,5305
Apache,Arizona,71714
Cochise,Arizona,126442
Coconino,Arizona,142254
Gila,Arizona,53846
Graham,Arizona,38304
Greenlee,Arizona,9465
La Paz,Arizona,21035
Maricopa,Arizona,4412779
Mohave,Arizona,210998
Navajo,Arizona,110271
Pima,Arizona,1038476
Pinal,Arizona,447559
Santa Cruz,Arizona,46594
Yavapai,Arizona,232396
Yuma,Arizona,211931
Arkansas,Arkansas,17761
Ashley,Arkansas,20000
Baxter,Arkansas,41673
Benton,Arkansas,273510
Boone,Arkansas,37525
Bradley,Arkansas,10805
Calhoun,Arkansas,5160
Carroll,Arkansas,28062
Chicot,Arkansas,10433
Clark,Arkansas,22341
Clay,Arkansas,14710
Cleburne,Arkansas,25063
Cleveland,Arkansas,8063
Columbia,Arkansas,23620
Conway,Arkansas,20895
Craighead,Arkansas,109081
Crawford,Arkansas,63118
Crittenden,Arkansas,48381
Cross,Arkansas,16576
Dallas,Arkansas,7114
Desha,Arkansas,11538
Drew,Arkansas,18263
Faulkner,Arkansas,124800
Franklin,Arkansas,17785
Fulton,Arkansas,12301
Garland,Arkansas,99043
Grant,Arkansas,18229
Greene,Arkansas,45197
Hempstead,Arkansas,21695
Hot Spring,Arkansas,33667
Howard,Arkansas,13267
Independence,Arkansas,37585
Izard,Arkansas,13596
Jackson,Arkansas,16908
Jefferson,Arkansas,68123
Johnson,Arkansas,26475
Lafayette,Arkansas,6728
Lawrence,Arkansas,16511
Lee,Arkansas,8963
Lincoln,Arkansas,13278
Little River,Arkansas,12345
Logan,Arkansas,21619
Lonoke,Arkansas,73163
Madison,Arkansas,16393
Marion,Arkansas,16586
Miller,Arkansas,43515
Mississippi,Arkansas,41396
Monroe,Arkansas,6879
Montgomery,Arkansas,8964
Nevada,Arkansas,8249
Newton,Arkansas,7753
Ouachita,Arkansas,23597
Perry,Arkansas,10342
Phillips,Arkansas,18151
Pike,Arkansas,10714
Poinsett,Arkansas,23747
Polk,Arkansas,19999
Pope,Arkansas,63926
Prairie,Arkansas,8138
Pulaski,Arkansas,393078
Randolph,Arkansas,17934
St. Francis,Arkansas,25477
Saline,Arkansas,120990
Scott,Arkansas,10269
Searcy,Arkansas,7898
Sebastian,Arkansas,127670
Sevier,Arkansas,16947
Sharp,Arkansas,17217
Stone,Arkansas,12582
Union,Arkansas,39089
Van Buren,Arkansas,16578
Washington,Arkansas,236198
White,Arkansas,78725
Woodruff,Arkansas,6477
Yell,Arkansas,21425
Alameda,California,1661584
Alpine,California,1159
Amador,California,39023
Butte,California,223344
Calaveras,California,45828
Colusa,California,21491
Contra Costa,California,1147788
Del Norte,California,27692
El Dorado,California,190345
Fresno,California,990204
Glenn,California,28060
Humboldt,California,136101
Imperial,California,180580
Inyo,California,17930
Kern,California,892458
Kings,California,151090
Lake,California,64276
Lassen,California,30600
Los Angeles,California,10040682
Madera,California,155925
Marin,California,259441
Mariposa,California,17319
Mendocino,California,87110
Merced,California,273661
Modoc,California,8853
Mono,California,14395
Monterey,California,432977
Napa,California,138572
Nevada,California,99417
Orange,California,3170345
Placer,California,391799
Plumas,California,18844
Riverside,California,2437864
Sacramento,California,1537948
San Benito,California,61547
San Bernardino,California,2162532
San Diego,California,3323970
San Francisco,California,874784
San Joaquin,California,751615
San Luis Obispo,California,282517
San Mateo,California,765623
Santa Barbara,California,444895
Santa Clara,California,1924379
Santa Cruz,California,273170
Shasta,California,179267
Sierra,California,2898
Siskiyou,California,43516
Solano,California,444538
Sonoma,California,496801
Stanislaus,California,546235
Sutter,California,96315
Tehama,California,64176
Trinity,California,12541
Tulare,California,463955
Tuolumne,California,54147
Ventura,California,845599
Yolo,California,218774
Yuba,California,77524
Adams,Colorado,509844
Alamosa,Colorado,16153
Arapahoe,Colorado,649980
Archuleta,Colorado,13588
Baca,Colorado,3570
Bent,Colorado,5677
Boulder,Colorado,324682
Broomfield,Colorado,69444
Chaffee,Colorado,19977
Cheyenne,Colorado,1999
Clear Creek,Colorado,9533
Conejos,Colorado,8130
Costilla,Colorado,3810
Crowley,Colorado,5733
Custer,Colorado,4941
Delta,Colorado,30758
Denver,Colorado,715878
Dolores,Colorado,1896
Douglas,Colorado,344280
Eagle,Colorado,54960
Elbert,Colorado,26230
El Paso,Colorado,710499
Fremont,Colorado,47725
Garfield,Colorado,59605
Gilpin,Colorado,6108
Grand,Colorado,15536
Gunnison,Colorado,17119
Hinsdale,Colorado,781
Huerfano,Colorado,6769
Jackson,Colorado,1316
Jefferson,Colorado,578795
Kiowa,Colorado,1463
Kit Carson,Colorado,7246
Lake,Colorado,7845
La Plata,Colorado,56138
Larimer,Colorado,350523
Las Animas,Colorado,14323
Lincoln,Colorado,5608
Logan,Colorado,22282
Mesa,Colorado,152962
Mineral,Colorado,853
Moffat,Colorado,13150
Montezuma,Colorado,26266
Montrose,Colorado,42280
Morgan,Colorado,28617
Otero,Colorado,18284
Ouray,Colorado,4890
Park,Colorado,18345
Phillips,Colorado,4343
Pitkin,Colorado,17980
Prowers,Colorado,12035
Pueblo,Colorado,167412
Rio Blanco,Colorado,6369
Rio Grande,Colorado,11300
Routt,Colorado,25317
Saguache,Colorado,6730
San Juan,Colorado,646
San Miguel,Colorado,8110
Sedgwick,Colorado,2306
Summit,Colorado,30735
Teller,Colorado,24981
Washington,Colorado,4869
Weld,Colorado,315389
Yuma,Colorado,10013
Fairfield,Connecticut,944306
Hartford,Connecticut,892153
Litchfield,Connecticut,181143
Middlesex,Connecticut,162742
New Haven,Connecticut,855733
New London,Connecticut,266868
Tolland,Connecticut,150947
Windham,Connecticut,116657
Kent,Delaware,179124
New Castle,Delaware,558306
Sussex,Delaware,230249
District of Columbia,District of Columbia,701974
Alachua,Florida,268105
Baker,Florida,28679
Bay,Florida,180076
Bradford,Florida,27723
Brevard,Florida,594001
Broward,Florida,1942273
Calhoun,Florida,14324
Charlotte,Florida,185926
