Geography,County,State,Estimate
0500000US01003,Baldwin,Alabama,239294
0500000US01015,Calhoun,Alabama,115972
0500000US01043,Cullman,Alabama,89496
0500000US01049,DeKalb,Alabama,71813
0500000US01051,Elmore,Alabama,89304
0500000US01055,Etowah,Alabama,103162
0500000US01069,Houston,Alabama,107458
0500000US01073,Jefferson,Alabama,667820
0500000US01077,Lauderdale,Alabama,94043
0500000US01081,Lee,Alabama,177218
0500000US01083,Limestone,Alabama,107517
0500000US01089,Madison,Alabama,395211
0500000US01095,Marshall,Alabama,98228
0500000US01097,Mobile,Alabama,413073
0500000US01101,Montgomery,Alabama,227434
0500000US01103,Morgan,Alabama,123668
0500000US01115,St. Clair,Alabama,92748
0500000US01117,Shelby,Alabama,226902
0500000US01121,Talladega,Alabama,81524
0500000US01125,Tuscaloosa,Alabama,227007
0500000US02020,Anchorage Municipality,Alaska,288121
0500000US02090,Fairbanks North Star Borough,Alaska,95593
0500000US02170,Matanuska-Susitna Borough,Alaska,110686
0500000US04001,Apache,Arizona,65623
0500000US04003,Cochise,Arizona,126050
0500000US04005,Coconino,Arizona,145052
0500000US04013,Maricopa,Arizona,4496588
0500000US04015,Mohave,Arizona,217692
0500000US04017,Navajo,Arizona,108147
0500000US04019,Pima,Arizona,1052030
0500000US04021,Pinal,Arizona,449557
0500000US04025,Yavapai,Arizona,242253
0500000US04027,Yuma,Arizona,206990
0500000US05007,Benton,Arkansas,293692
0500000US05031,Craighead,Arkansas,112218
0500000US05045,Faulkner,Arkansas,125106
0500000US05051,Garland,Arkansas,100330
0500000US05069,Jefferson,Arkansas,65861
0500000US05085,Lonoke,Arkansas,74722
0500000US05119,Pulaski,Arkansas,397821
0500000US05125,Saline,Arkansas,125233
0500000US05131,Sebastian,Arkansas,128400
0500000US05143,Washington,Arkansas,250057
0500000US05145,White,Arkansas,77207
0500000US06001,Alameda,California,1648556
0500000US06007,Butte,California,208309
0500000US06013,Contra Costa,California,1161413
0500000US06017,El Dorado,California,193221
0500000US06019,Fresno,California,1013581
0500000US06023,Humboldt,California,136310
0500000US06025,Imperial,California,179851
0500000US06029,Kern,California,917673
0500000US06031,Kings,California,153443
0500000US06033,Lake,California,68766
0500000US06037,Los Angeles,California,9829544
0500000US06039,Madera,California,159410
0500000US06041,Marin,California,260206
0500000US06045,Mendocino,California,91305
0500000US06047,Merced,California,286461
0500000US06053,Monterey,California,437325
0500000US06055,Napa,California,136207
0500000US06057,Nevada,California,103487
0500000US06059,Orange,California,3167809
0500000US06061,Placer,California,412300
0500000US06065,Riverside,California,2458395
0500000US06067,Sacramento,California,1588921
0500000US06069,San Benito,California,66677
0500000US06071,San Bernardino,California,2194710
0500000US06073,San Diego,California,3286069
0500000US06075,San Francisco,California,815201
0500000US06077,San Joaquin,California,789410
0500000US06079,San Luis Obispo,California,283159
0500000US06081,San Mateo,California,737888
0500000US06083,Santa Barbara,California,446475
0500000US06085,Santa Clara,California,1885508
0500000US06087,Santa Cruz,California,267792
0500000US06089,Shasta,California,182139
0500000US06095,Solano,California,451716
0500000US06097,Sonoma,California,485887
0500000US06099,Stanislaus,California,552999
0500000US06101,Sutter,California,99063
0500000US06103,Tehama,California,65498
0500000US06107,Tulare,California,477054
0500000US06111,Ventura,California,839784
0500000US06113,Yolo,California,216986
0500000US06115,Yuba,California,83421
0500000US08001,Adams,Colorado,522140
0500000US08005,Arapahoe,Colorado,654900
0500000US08013,Boulder,Colorado,329543
0500000US08014,Broomfield,Colorado,75325
0500000US08031,Denver,Colorado,711463
0500000US08035,Douglas,Colorado,368990
0500000US08041,El Paso,Colorado,737867
0500000US08059,Jefferson,Colorado,579581
0500000US08069,Larimer,Colorado,362533
0500000US08077,Mesa,Colorado,157335
0500000US08101,Pueblo,Colorado,169622
0500000US08123,Weld,Colorado,340036
0500000US09001,Fairfield,Connecticut,959768
0500000US09003,Hartford,Connecticut,896854
0500000US09005,Litchfield,Connecticut,185000
0500000US09007,Middlesex,Connecticut,164759
0500000US09009,New Haven,Connecticut,863700
0500000US09011,New London,Connecticut,268805
0500000US09013,Tolland,Connecticut,150293
0500000US09015,Windham,Connecticut,116418
0500000US10001,Kent,Delaware,184149
0500000US10003,New Castle,Delaware,571708
0500000US10005,Sussex,Delaware,247527
0500000US11001,District of Columbia,District of Columbia,670050
0500000US12001,Alachua,Florida,279238
0500000US12005,Bay,Florida,179168
0500000US12009,Brevard,Florida,616628
0500000US12011,Broward,Florida,1930983
0500000US12015,Charlotte,Florida,194843
0500000US12017,Citrus,Florida,158083
0500000US12019,Clay,Florida,222361
0500000US12021,Collier,Florida,385980
0500000US12023,Columbia,Florida,70385
0500000US12031,Duval,Florida,999935
0500000US12033,Escambia,Florida,322390
0500000US12035,Flagler,Florida,120932
0500000US12053,Hernando,Florida,200638
0500000US12055,Highlands,Florida,103296
0500000US12057,Hillsborough,Florida,1478194
0500000US12061,Indian River,Florida,163662
0500000US12069,Lake,Florida,395804
0500000US12071,Lee,Florida,787976
0500000US12073,Leon,Florida,292817
0500000US12081,Manatee,Florida,412703
0500000US12083,Marion,Florida,385915
0500000US12085,Martin,Florida,159942
0500000US12086,Miami-Dade,Florida,2662777
0500000US12087,Monroe,Florida,82170
0500000US12089,Nassau,Florida,94189
0500000US12091,Okaloosa,Florida,213255
0500000US12095,Orange,Florida,1422746
0500000US12097,Osceola,Florida,403282
0500000US12099,Palm Beach,Florida,1497987
0500000US12101,Pasco,Florida,584067
0500000US12103,Pinellas,Florida,956615
0500000US12105,Polk,Florida,753520
0500000US12107,Putnam,Florida,74167
0500000US12109,St. Johns,Florida,292466
0500000US12111,St. Lucie,Florida,343579
0500000US12113,Santa Rosa,Florida,193998
0500000US12115,Sarasota,Florida,447057
0500000US12117,Seminole,Florida,470093
0500000US12119,Sumter,Florida,135638
0500000US12127,Volusia,Florida,564412
0500000US12131,Walton,Florida,80069
0500000US13013,Barrow,Georgia,86658
0500000US13015,Bartow,Georgia,110843
0500000US13021,Bibb,Georgia,156762
0500000US13031,Bulloch,Georgia,82442
0500000US13045,Carroll,Georgia,121968
0500000US13047,Catoosa,Georgia,68397
0500000US13051,Chatham,Georgia,296329
0500000US13057,Cherokee,Georgia,274615
0500000US13059,Clarke,Georgia,128711
0500000US13063,Clayton,Georgia,297100
0500000US13067,Cobb,Georgia,766802
0500000US13073,Columbia,Georgia,159639
0500000US13077,Coweta,Georgia,149956
0500000US13089,DeKalb,Georgia,757718
0500000US13095,Dougherty,Georgia,84844
0500000US13097,Douglas,Georgia,145814
0500000US13103,Effingham,Georgia,66741
0500000US13113,Fayette,Georgia,120574
0500000US13115,Floyd,Georgia,98771
0500000US13117,Forsyth,Georgia,260206
0500000US13121,Fulton,Georgia,1065334
0500000US13127,Glynn,Georgia,84739
0500000US13135,Gwinnett,Georgia,964546
0500000US13139,Hall,Georgia,207369
0500000US13151,Henry,Georgia,245235
0500000US13153,Houston,Georgia,166829
0500000US13157,Jackson,Georgia,80286
0500000US13179,Liberty,Georgia,65711
0500000US13185,Lowndes,Georgia,119276
