t,A,B,C,D,E,F,G
4.44E-16,0.479470474,0.004969832,0.005585145,0.012820726,0.003076563,0.321216179,0.481205971
0.005,0.480336806,0.004808914,0.005379327,0.014396839,0.001804813,0.318305268,0.483226843
0.01,0.481186475,0.004642896,0.005019256,0.016457189,0.000760358,0.315802624,0.484994832
0.015,0.481981642,0.004460196,0.00508971,0.018320243,0.000169891,0.312742125,0.48578377
0.02,0.482738193,0.004264643,0.005874391,0.019560777,0.000113259,0.308777722,0.485339845
0.025,0.483595611,0.004095526,0.006964358,0.020343219,0.000332468,0.304989886,0.484495948
0.03,0.484706895,0.003996362,0.007860338,0.020912907,0.000525838,0.30263124,0.484219775
0.035,0.486056266,0.003977947,0.008361298,0.02143931,0.00055348,0.30172371,0.484703976
0.04,0.487395718,0.004006047,0.008676557,0.021987499,0.000498128,0.300595848,0.485074789
0.045,0.488471185,0.004041678,0.009034129,0.022618639,0.0004549,0.297565661,0.484448726
0.05,0.489213894,0.004020631,0.009471188,0.023456908,0.000453712,0.292876643,0.48310218
0.055,0.4897105,0.003857539,0.009864827,0.024679341,0.000469785,0.288387469,0.482284505
0.06,0.490035899,0.003486271,0.01010105,0.026427538,0.00047906,0.285746202,0.482580487
0.065,0.490123762,0.003010198,0.010184081,0.028527186,0.000478015,0.28438005,0.483254708
0.07,0.48983631,0.002618449,0.010177951,0.03064414,0.000473524,0.282592565,0.484104722
0.075,0.489085017,0.002460315,0.010180531,0.032488144,0.000471374,0.279024081,0.484928846
0.08,0.488016076,0.002494228,0.010446968,0.033981633,0.000471839,0.273943032,0.4855254
0.085,0.486844601,0.002622468,0.011277978,0.035109799,0.000473576,0.268097285,0.485672897
0.09,0.485695755,0.00275775,0.012547913,0.035958177,0.000475185,0.262414294,0.484523742
0.095,0.484452929,0.002840859,0.012985243,0.036881948,0.000475114,0.258303962,0.483043513
0.1,0.48295998,0.002818254,0.01164749,0.038275076,0.00047184,0.257235463,0.483046969
0.105,0.481103806,0.002701423,0.009903842,0.040142087,0.000467197,0.259328572,0.48491978
0.11,0.478839763,0.002605292,0.007717563,0.041868021,0.000468354,0.262556591,0.486774371
0.115,0.476141473,0.002652055,0.005374419,0.042808543,0.000482136,0.264771852,0.486603894
0.12,0.473246407,0.002921701,0.003160176,0.042878896,0.00049751,0.265349675,0.484206014
0.125,0.470647255,0.003453396,0.001360597,0.042535619,0.00048617,0.265138594,0.481123943
0.13,0.46877464,0.004270629,-0.000151324,0.042255228,0.000423339,0.264984622,0.47880933
0.135,0.467315314,0.005253203,-7.69E-06,0.042491943,0.000327664,0.265089486,0.477041809
0.14,0.46551935,0.006196571,0.000867218,0.043686894,0.000243288,0.265276684,0.474619468
0.145,0.462806179,0.006927364,0.001267891,0.046099225,0.000206962,0.265387243,0.470914781
0.15,0.45956797,0.007451552,0.0011642,0.048976961,0.000212542,0.265386429,0.468563898
0.155,0.456532967,0.007837077,0.00093218,0.051218856,0.000239056,0.265282469,0.470951803
0.16,0.45419965,0.00814004,0.00085069,0.052115967,0.000264792,0.265126392,0.472713832
0.165,0.452341479,0.008379034,0.000891153,0.052196597,0.000265737,0.265103981,0.474911209
0.17,0.45059017,0.008565383,0.000964813,0.052229015,0.000217892,0.26542506,0.477450406
0.175,0.448648765,0.008720616,0.001005338,0.052666581,0.000144217,0.266053733,0.480237897
0.18,0.446351765,0.008885077,0.000987728,0.053382206,0.000154226,0.266501184,0.483180154
0.185,0.443559905,0.009100631,0.000894512,0.054187956,0.000357626,0.266264365,0.48618365
0.19,0.440474623,0.009394996,0.000794993,0.054943772,0.000606239,0.265816184,0.489154857
0.195,0.437677338,0.009780106,0.000855246,0.055562989,0.000464268,0.266718011,0.49200025
0.2,0.435703447,0.01026264,0.001208676,0.05597586,-0.000422651,0.270400047,0.4946263
0.205,0.434264825,0.010794047,0.001517443,0.05628884,-0.001203953,0.275941751,0.49693948
0.21,0.432513886,0.011288254,0.001123565,0.056728089,-0.000210508,0.280825619,0.498846263
0.215,0.4297655,0.011674765,-0.000348658,0.057492238,0.000694234,0.282908593,0.501909269
0.22,0.426474521,0.011990382,-0.001375966,0.058583627,0.001326318,0.282713889,0.500721974
0.225,0.423556832,0.012315298,0.000332861,0.05992521,0.002039093,0.281843009,0.498112734
0.23,0.421648196,0.012730706,0.00603745,0.061405745,0.002820002,0.281537049,0.496953025
0.235,0.420341453,0.013321053,0.013166388,0.062788085,0.003656484,0.281690213,0.496989222
0.24,0.418989512,0.014171259,0.018269996,0.063807086,0.004535982,0.28188577,0.497245954
0.245,0.417231298,0.015317079,0.019497112,0.064404134,0.005445936,0.281885715,0.497108857
0.25,0.415318435,0.016688933,0.018420834,0.064963027,0.006373788,0.281834906,0.496736897
0.255,0.413577858,0.018202308,0.01703027,0.065908796,0.00730698,0.281920855,0.496384702
0.26,0.412192754,0.019721737,0.016323507,0.067062195,0.008232951,0.282073484,0.496148191
0.265,0.411161353,0.021046195,0.01602358,0.067466516,0.009139144,0.281891298,0.49591909
0.27,0.41045465,0.021987861,0.015780873,0.066203116,0.010013,0.281022137,0.49558116
0.275,0.409811809,0.022628724,0.015420398,0.063728348,0.01084196,0.280209847,0.495102635
0.28,0.408790093,0.023262479,0.014904183,0.061577426,0.011613465,0.281058232,0.494518036
0.285,0.40703026,0.024181862,0.014221696,0.06111697,0.012314956,0.282132216,0.493863993
0.29,0.404865697,0.025627578,0.013548641,0.062165348,0.012933875,0.282896637,0.493179738
0.295,0.402956382,0.0278158,0.013148536,0.063810898,0.013457664,0.283770153,0.492505732
0.3,0.401799096,0.030794155,0.013189812,0.065276569,0.014642747,0.284732222,0.491875296
0.305,0.401169949,0.033875268,0.013423613,0.0663916,0.013747329,0.285762302,0.491290574
0.31,0.400648962,0.03617248,0.01348768,0.067150747,0.012491829,0.28683985,0.490745195
0.315,0.399997688,0.037249898,0.013175654,0.067605169,0.012053902,0.287944322,0.490230563
0.32,0.399431191,0.037797722,0.012670643,0.067946925,0.012081022,0.289055178,0.489732521
0.325,0.399229117,0.038669892,0.012212976,0.068390755,0.011991664,0.290151873,0.48923618
0.33,0.399398612,0.040225134,0.011903396,0.069207424,0.011527852,0.291213866,0.488733314
0.335,0.399541851,0.042086205,0.011635197,0.070750953,0.010912452,0.292220613,0.488225597
0.34,0.399248813,0.043833208,0.011287464,0.073335261,0.010396205,0.293151572,0.487715577
0.345,0.398509659,0.045377008,0.010790152,0.076367692,0.010013856,0.293986201,0.487207117
0.35,0.397676754,0.046927844,0.010119265,0.078435053,0.009604656,0.294703957,0.486705271
0.355,0.397074207,0.048689107,0.009285889,0.078311464,0.009050105,0.296268064,0.486213344
0.36,0.396637877,0.050698392,0.008615129,0.076809149,0.008694923,0.296232039,0.485717792
0.365,0.39609091,0.052902458,0.008604134,0.075856951,0.009137618,0.29540438,0.485195838
0.37,0.395210451,0.055205082,0.009594863,0.076878139,0.010833007,0.295127152,0.484638625
0.375,0.394062703,0.057293662,0.011121687,0.078635682,0.013483173,0.295355203,0.484109401
0.38,0.392806547,0.058786377,0.012460127,0.079040201,0.016548821,0.295598592,0.483694496
0.385,0.391561016,0.059508624,0.013083396,0.077041804,0.019550082,0.295526913,0.483431507
0.39,0.390328493,0.059891832,0.013043141,0.07463133,0.022181183,0.295276852,0.483215483
0.395,0.389089573,0.060473579,0.012496467,0.074332497,0.02416705,0.29506875,0.482916615
0.4,0.387778014,0.061465285,0.011624108,0.077053993,0.025155769,0.295020236,0.482490641
0.405,0.386247004,0.062517345,0.010647438,0.080926507,0.024663258,0.295072261,0.482040444
0.41,0.384352222,0.063233312,0.009780378,0.083857586,0.022232247,0.295150167,0.481679653
0.415,0.382209048,0.063429046,0.008951724,0.085025085,0.018396702,0.295224724,0.481427912
0.42,0.380203867,0.063141956,0.007792733,0.084932475,0.014724972,0.295314115,0.481206786
0.425,0.378695214,0.062430659,0.006042341,0.084124657,0.012685572,0.295430957,0.480941864
0.43,0.377580417,0.061476831,0.004822611,0.082910864,0.012060171,0.295499343,0.480656776
