t,A,B,C,D,E,F,G,H
0,0.533181854,0,0,0.017035452,0.002019679,0.321045549,0.524593435,0.005586836
0.06202,0.482169762,0,0,0.007870905,0,0.306890532,0.510084645,0.020374054
0.25798,0.428070297,0.029486876,0,0.053171669,0.011971511,0.275554508,0.453318974,0
0.4,0.365844691,0.032556391,0,0.057180184,0.013340614,0.282680174,0.486952023,0.005233777
0.46202,0.386466378,0.057257302,0.017336736,0.060651381,0,0.292149908,0.531152011,0
0.65798,0.332818517,0.05824932,0.027454796,0.067201553,0,0.255695621,0.486212244,0.031066656
0.8,0.263785693,0.063736999,0,0.136758956,0,0.255013586,0.488494817,0.066105763
0.86202,0.300304379,0.067470228,0,0.110505039,0,0.262911033,0.468902522,0.036521157
1.05798,0.233471761,0.091895677,0,0.163840423,0.016869099,0.287407796,0.486384835,0.052318035
1.2,0.218793268,0.091351184,0,0.200540454,0,0.266482632,0.436123457,0.00358857
1.26202,0.232102829,0.077778477,0,0.207892005,0,0.26261429,0.482749281,0.039667669
1.45798,0.184030023,0.159056532,0,0.193693368,0.008686326,0.223318654,0.488259119,0.049563281
1.6,0.1346358,0.084360469,0,0.214439681,0.026860734,0.243362361,0.431686234,0.02887747
1.66202,0.139484697,0.13706986,0.009370528,0.179675835,0.002693895,0.243608808,0.44810416,0.077579918
1.85798,0.10712078,0.123848248,0.021561444,0.193372426,0.035261071,0.242320515,0.440602174,0.071179664
2,0.143975907,0.12245809,0.006685486,0.176051613,0.032435705,0.232635552,0.424452096,0.035270084
2.06202,0.103180227,0.114559633,0.001073081,0.215991266,0.015050652,0.230037744,0.439077912,0.065103392
2.25798,0.085408567,0.147850848,0.038563748,0.21002864,0,0.251242478,0.443351444,0.057101653
2.4,0.079007155,0.153747124,0.005069878,0.207793205,0.036570617,0.235378223,0.461924743,0.096258507
2.46202,0.069834168,0.105828241,0,0.215619507,0.022522615,0.233589218,0.447187409,0.099602064
2.65798,0.078616739,0.153559563,0.001593025,0.174175095,0.031357743,0.203842361,0.426435514,0.072474432
2.8,0.093928186,0.138990172,0.035812197,0.213700657,0,0.242978942,0.364542744,0.102657577
2.86202,0.074922422,0.126715036,0.010114625,0.203855782,0.032865183,0.275779688,0.435623145,0.06492008
3.05798,0.055756073,0.139074137,0.019827181,0.19632724,0,0.222955399,0.409725042,0.105734298
3.2,0.047956153,0.14546033,0,0.231534437,0.012292204,0.245972898,0.381285943,0.103327698
3.26202,0.08380085,0.129497054,0.012146311,0.177385562,0.061627671,0.229622579,0.426077026,0.103981839
3.45798,0.066970214,0.080190398,0.027776379,0.189267464,0.027694444,0.221471083,0.450055699,0.074457997
3.6,0.03605168,0.126822402,0.030901568,0.205488556,0.005407933,0.207369955,0.414079469,0.119105418
3.66202,0.000741112,0.099919042,0.026033858,0.185683457,0.041435279,0.214193444,0.360195338,0.074152161
3.85798,0.056845629,0.134079533,0.016530354,0.229111668,0.024392644,0.20191152,0.401377814,0.078968559
4,0,0.14269364,0.039996922,0.213056446,0.005471918,0.174236989,0.413864481,0.087942701
4.06202,0.01850525,0.065957303,0,0.191328124,0.031879343,0.192069589,0.380886923,0.104142309
4.25798,0.022929447,0.093990244,0.014140963,0.207894927,0.035744991,0.21310476,0.420957257,0.072589836
4.4,0.00840557,0.084727093,0.039864661,0.197728771,0.039723148,0.224267916,0.376492218,0.096470094
4.46202,0.026074449,0.060604263,0.001915062,0.235802246,0.079505533,0.214399119,0.422442083,0.108167135
4.65798,0.023477109,0.095060425,0.03289726,0.176511858,0.068812056,0.161388458,0.375081824,0.125116321
4.8,0.031380895,0.106702636,0.050271263,0.193563411,0.034871441,0.184789978,0.410493505,0.158879626
4.86202,0.011192745,0.079111328,0.0500535,0.195213052,0.032159223,0.204050317,0.382097863,0.154664327
5.05798,0.009556027,0.11832502,0,0.222002377,0.115151728,0.184088056,0.37627409,0.132847876
5.2,0.001030237,0.116897439,0.060138223,0.168578984,0.068694762,0.229319578,0.404283431,0.136438524
5.26202,0,0.053299678,0.080112188,0.143859862,0.044139334,0.164562113,0.365859785,0.088113907
5.45798,0.012066767,0.112618329,0.010303573,0.186939982,0.073886179,0.184916368,0.386508413,0.083211705
5.6,0.002672665,0.044999337,0.015832111,0.193861598,0.060421456,0.146593262,0.370017518,0.10253052
5.66202,0,0.115157299,0,0.176784069,0.065869321,0.157168938,0.349253781,0.123077318
5.85798,0.039864973,0.104588335,0.045803982,0.189508749,0.05454637,0.214529746,0.349556736,0.137478669
6,0.025854941,0.107948045,0.043324361,0.173520399,0.065162814,0.167076143,0.382391416,0.124175339
6.06202,0.003595535,0.102202465,0,0.19674303,0.080342772,0.198777899,0.38160334,0.096555421
6.25798,0.011161885,0.078820551,0.011946604,0.167903937,0.056130962,0.195779597,0.3848642,0.157819998
6.4,0.01395547,0.066593427,0.028582966,0.181290437,0.056841748,0.15567363,0.402228229,0.138771047
6.46202,0.025536977,0.066504503,0.032914254,0.171581805,0.088504928,0.167925311,0.381641544,0.148555786
6.65798,0,0.0737278,0.00561713,0.173970739,0.056648706,0.15968392,0.349928629,0.10203871
6.8,0.017960948,0.055009647,0.03566145,0.210724913,0.032405666,0.110292896,0.396779095,0.160454839
6.86202,0.009521831,0.042774221,0.02113779,0.162966824,0.040047824,0.130988723,0.391015303,0.113784028
7.05798,0,0.063942104,0.034756683,0.162746302,0.079026626,0.165339953,0.369319467,0.165418306
7.2,0.039869868,0.07005707,0.03233351,0.167283825,0.046514663,0.15222227,0.356585468,0.140398716
7.26202,0.000695061,0.086359078,0.020975956,0.182461713,0.058248053,0.196998854,0.367969045,0.156218456
7.45798,0,0.076690339,0.019108361,0.15023321,0.084958023,0.154203186,0.360248896,0.109041321
7.6,0.028970859,0.069969799,0.021189316,0.159891758,0.042638628,0.165092817,0.37567789,0.149107879
7.66202,0.017789492,0.092727388,0.064870782,0.142006815,0.06381353,0.126917745,0.335263379,0.141403632
7.85798,0.013892034,0.084577768,0.027202086,0.113603527,0.051763417,0.127373815,0.375634572,0.176572295
8,0,0.034204068,0,0.158184121,0.080850875,0.177720613,0.32271283,0.130547071
8.06202,0.019608574,0.07837428,0.046460211,0.164370541,0.053145153,0.175687248,0.348229333,0.158118996
8.25798,0.032308505,0.032812947,0,0.150586386,0.108630767,0.160598377,0.364831357,0.141527368
8.4,0,0.054742815,0.011504899,0.140799578,0.077671848,0.137345841,0.298572352,0.157506758
8.46202,0,0.06405479,0.012320269,0.141376853,0.095937681,0.134973693,0.3707351,0.141732326
8.65798,0,0.069696844,0.022810229,0.146487115,0.075756803,0.161644337,0.344941577,0.205639426
8.8,0,0.043108608,0.044754581,0.131310768,0.115310157,0.140593777,0.332127429,0.169469523
8.86202,0,0.029414874,0.013590274,0.152114292,0.073494994,0.176297415,0.30849475,0.134863087
9.05798,0.006681999,0.033662799,0.003532731,0.155061691,0.068110661,0.141891051,0.370315397,0.16956074
9.2,0.01892582,0.064555234,0.058159743,0.110602668,0.122790308,0.156061169,0.314817927,0.147181841
9.26202,0.011653794,0.032651602,0.017253824,0.12656575,0.066208218,0.125298729,0.354668019,0.17199962
9.45798,0.017915613,0.063507067,0.011432179,0.155646453,0.10537023,0.148815722,0.317701723,0.189065441
9.6,0,0.027183587,0.019844536,0.160381134,0.095740371,0.100425418,0.350700711,0.149229669
9.66202,0.003764908,0.033054784,0,0.129460736,0.084724815,0.143352892,0.328537021,0.174755452
9.85798,0,0.042874246,0.009226546,0.124697766,0.114092109,0.123970903,0.382060762,0.153743754
10,0,0.026957159,0.013302318,0.148350701,0.076493341,0.163337599,0.328374387,0.169756368
10.06202,0.03521816,0.000883488,0.068707452,0.130620583,0.090178585,0.190669766,0.347748726,0.15223336
10.25798,0,0.084886139,0.036374741,0.137649471,0.099183452,0.146835236,0.320967619,0.185538516
10.4,0.000678453,0.047116379,0.00372064,0.137782377,0.10958729,0.133284229,0.28960922,0.192347106
10.46202,0,0.046700275,0.020559259,0.094316445,0.125716702,0.165643627,0.337578533,0.167673004
10.65798,0.000695377,0.055599758,0,0.100693806,0.14995885,0.127269994,0.31185568,0.171779395
10.8,0,0.040406793,0.045697213,0.137745323,0.134236208,0.110276355,0.346302868,0.151010188
10.86202,0,0.054630316,0.029397487,0.100239855,0.094478739,0.111533914,0.356003177,0.172376155
11.05798,0.030351442,0,0.022188184,0.136824117,0.071226478,0.131489867,0.315829266,0.211562346
11.2,0,0.015491658,0.030503082,0.08963818,0.057172308,0.098331452,0.294679535,0.18487528
11.26202,0.014357359,0.005014257,0.032060136,0.151697959,0.081579506,0.113126056,0.356254232,0.171158048
11.45798,0.007975982,0.073779887,0,0.128265738,0.10307108,0.12313008,0.330900726,0.204802796
11.6,0,0.042879665,0.026282631,0.121271974,0.116426646,0.111269072,0.322303704,0.167920175
11.66202,0,0.034900958,0.00603064,0.093073557,0.091906571,0.101388509,0.323419106,0.163393454
11.85798,0.029308524,0,0,0.106294826,0.111429721,0.109286554,0.338208123,0.160844687
12,0,0.042646109,0,0.117534112,0.117766815,0.105662832,0.33327211,0.143460433
12.06202,0.005366351,0,0,0.12484594,0.096666284,0.10832966,0.327866694,0.20130094
12.25798,0,0.025767396,0.01767861,0.0935547,0.079618701,0.126089166,0.308434534,0.191794309
12.4,0,0.056136415,0.012636029,0.121327669,0.101609311,0.108686875,0.334689349,0.169250268
12.46202,0,0.025476117,0.012522932,0.085902961,0.082395847,0.170463848,0.310244005,0.178002774
12.65798,0,0.050942759,0,0.091641538,0.120650514,0.137413718,0.300700938,0.206188501
12.8,0,0.017981375,0.018661083,0.104351963,0.085409893,0.119126728,0.303998794,0.150113104
12.86202,0.027226772,0.00184205,0.042965573,0.112211985,0.09000625,0.107889295,0.358778092,0.178626957
13.05798,0,0.016998567,0.025313201,0.08368576,0.081279901,0.087765902,0.309205058,0.215974539
13.2,0.017869219,0.023415898,0.036991959,0.088339179,0.094672566,0.095365466,0.298902462,0.180093876
13.26202,0.031252147,0.035184767,0.016842414,0.081986271,0.101265236,0.094620807,0.300878545,0.182749452
13.45798,0,0.022747947,0.045896751,0.076292103,0.09918146,0.134224159,0.286217369,0.243084335
